SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
117021327,Father only born overseas,TOT,1862
117021327,Mother only born overseas,TOT,1303
117021327,Both parents born in Australia,TOT,7712
117021327,Not stated - birthplace for either or both parents not stated,TOT,1927
117021328,Total,NA,7846
117021328,Both parents born overseas,TOT,3492
117021328,Father only born overseas,TOT,610
117021328,Mother only born overseas,TOT,490
117021328,Both parents born in Australia,TOT,2701
117021328,Not stated - birthplace for either or both parents not stated,TOT,551
117031329,Total,NA,11320
117031329,Both parents born overseas,TOT,4938
117031329,Father only born overseas,TOT,763
117031329,Mother only born overseas,TOT,470
117031329,Both parents born in Australia,TOT,3268
117031329,Not stated - birthplace for either or both parents not stated,TOT,1878
117031330,Total,NA,16233
117031330,Both parents born overseas,TOT,6554
117031330,Father only born overseas,TOT,1388
117031330,Mother only born overseas,TOT,1009
117031330,Both parents born in Australia,TOT,5819
117031330,Not stated - birthplace for either or both parents not stated,TOT,1466
117031331,Total,NA,19609
117031331,Both parents born overseas,TOT,8740
117031331,Father only born overseas,TOT,1332
117031331,Mother only born overseas,TOT,990
117031331,Both parents born in Australia,TOT,6426
117031331,Not stated - birthplace for either or both parents not stated,TOT,2122
117031332,Total,NA,24839
117031332,Both parents born overseas,TOT,10191
117031332,Father only born overseas,TOT,1957
117031332,Mother only born overseas,TOT,1616
117031332,Both parents born in Australia,TOT,8714
117031332,Not stated - birthplace for either or both parents not stated,TOT,2358
117031333,Total,NA,21205
117031333,Both parents born overseas,TOT,8231
117031333,Father only born overseas,TOT,1209
117031333,Mother only born overseas,TOT,899
117031333,Both parents born in Australia,TOT,6277
117031333,Not stated - birthplace for either or both parents not stated,TOT,4587
117031334,Total,NA,21656
117031334,Both parents born overseas,TOT,14546
117031334,Father only born overseas,TOT,693
117031334,Mother only born overseas,TOT,688
117031334,Both parents born in Australia,TOT,3364
117031334,Not stated - birthplace for either or both parents not stated,TOT,2372
117031335,Total,NA,22501
117031335,Both parents born overseas,TOT,12606
117031335,Father only born overseas,TOT,1124
117031335,Mother only born overseas,TOT,835
117031335,Both parents born in Australia,TOT,5197
117031335,Not stated - birthplace for either or both parents not stated,TOT,2727
117031336,Total,NA,16412
117031336,Both parents born overseas,TOT,8273
117031336,Father only born overseas,TOT,948
117031336,Mother only born overseas,TOT,668
117031336,Both parents born in Australia,TOT,4266
117031336,Not stated - birthplace for either or both parents not stated,TOT,2258
117031337,Total,NA,27407
117031337,Both parents born overseas,TOT,19984
117031337,Father only born overseas,TOT,461
117031337,Mother only born overseas,TOT,435
117031337,Both parents born in Australia,TOT,2472
117031337,Not stated - birthplace for either or both parents not stated,TOT,4055
117031338,Total,NA,33060
117031338,Both parents born overseas,TOT,20617
117031338,Father only born overseas,TOT,1439
117031338,Mother only born overseas,TOT,1071
117031338,Both parents born in Australia,TOT,6438
117031338,Not stated - birthplace for either or both parents not stated,TOT,3495
118011339,Total,NA,18398
118011339,Both parents born overseas,TOT,8155
118011339,Father only born overseas,TOT,1537
118011339,Mother only born overseas,TOT,1095
118011339,Both parents born in Australia,TOT,5698
118011339,Not stated - birthplace for either or both parents not stated,TOT,1922
118011340,Total,NA,20728
118011340,Both parents born overseas,TOT,9567
118011340,Father only born overseas,TOT,1667
118011340,Mother only born overseas,TOT,1243
118011340,Both parents born in Australia,TOT,5707
118011340,Not stated - birthplace for either or both parents not stated,TOT,2539
118011341,Total,NA,16857
118011341,Both parents born overseas,TOT,8066
118011341,Father only born overseas,TOT,1099
118011341,Mother only born overseas,TOT,944
118011341,Both parents born in Australia,TOT,4602
118011341,Not stated - birthplace for either or both parents not stated,TOT,2143
118011342,Total,NA,0
118011342,Both parents born overseas,TOT,0
118011342,Father only born overseas,TOT,0
118011342,Mother only born overseas,TOT,0
118011342,Both parents born in Australia,TOT,0
118011342,Not stated - birthplace for either or both parents not stated,TOT,0
118011343,Total,NA,24868
118011343,Both parents born overseas,TOT,10299
118011343,Father only born overseas,TOT,2186
118011343,Mother only born overseas,TOT,1448
118011343,Both parents born in Australia,TOT,8396
118011343,Not stated - birthplace for either or both parents not stated,TOT,2536
118011344,Total,NA,10829
118011344,Both parents born overseas,TOT,6282
118011344,Father only born overseas,TOT,887
118011344,Mother only born overseas,TOT,679
118011344,Both parents born in Australia,TOT,2267
118011344,Not stated - birthplace for either or both parents not stated,TOT,711
