SA2_CODE,LFSP_C16,obsValue
801051054,LF,1229
801051055,UEMP,110
801051055,LF,1944
801051056,UEMP,69
801051056,LF,1522
801051057,UEMP,150
801051057,LF,2809
801051058,UEMP,151
801051058,LF,3054
801051060,UEMP,135
801051060,LF,2458
801051061,UEMP,160
801051061,LF,3376
801051123,UEMP,0
801051123,LF,0
801051124,UEMP,81
801051124,LF,1672
801051125,UEMP,0
801051125,LF,1429
801051126,UEMP,0
801051126,LF,0
801051127,UEMP,71
801051127,LF,869
801051128,UEMP,0
801051128,LF,0
801061062,UEMP,60
801061062,LF,1391
801061063,UEMP,22
801061063,LF,917
801061064,UEMP,91
801061064,LF,2568
801061066,UEMP,0
801061066,LF,0
801061067,UEMP,165
801061067,LF,2977
801061068,UEMP,0
801061068,LF,0
801061069,UEMP,89
801061069,LF,1533
801061070,UEMP,67
801061070,LF,1421
801061129,UEMP,18
801061129,LF,982
801061130,UEMP,0
801061130,LF,19
801061131,UEMP,75
801061131,LF,3121
801071071,UEMP,116
801071071,LF,2859
801071072,UEMP,105
801071072,LF,2242
801071073,UEMP,134
801071073,LF,3325
801071074,UEMP,112
801071074,LF,2905
801071075,UEMP,113
801071075,LF,2891
801071076,UEMP,43
801071076,LF,1678
801071077,UEMP,63
801071077,LF,1524
801071078,UEMP,198
801071078,LF,4430
801071079,UEMP,60
801071079,LF,1612
801071080,UEMP,59
801071080,LF,1098
801071081,UEMP,104
801071081,LF,2368
801071082,UEMP,339
801071082,LF,7533
801071083,UEMP,19
801071083,LF,839
801071084,UEMP,104
801071084,LF,2795
801071085,UEMP,0
801071085,LF,0
801071086,UEMP,51
801071086,LF,927
801071087,UEMP,87
801071087,LF,1673
801071088,UEMP,101
801071088,LF,2244
801071089,UEMP,0
801071089,LF,14
801071090,UEMP,200
801071090,LF,3960
801071132,UEMP,0
801071132,LF,3
801081091,UEMP,44
801081091,LF,1350
801081092,UEMP,58
801081092,LF,1586
801081093,UEMP,52
801081093,LF,1477
801081094,UEMP,56
801081094,LF,1349
801081095,UEMP,85
801081095,LF,1530
801081096,UEMP,39
801081096,LF,920
801081097,UEMP,50
801081097,LF,1305
801081098,UEMP,66
801081098,LF,1670
801081133,UEMP,0
801081133,LF,3
801091099,UEMP,64
801091099,LF,1309
801091100,UEMP,84
801091100,LF,2622
801091101,UEMP,63
801091101,LF,1680
801091102,UEMP,62
801091102,LF,1581
801091103,UEMP,59
801091103,LF,1365
801091104,UEMP,51
801091104,LF,1148
801091105,UEMP,88
801091105,LF,1515
801091106,UEMP,80
801091106,LF,1712
801091107,UEMP,13
801091107,LF,476
801091108,UEMP,57
801091108,LF,1288
801091109,UEMP,85
801091109,LF,1863
801091110,UEMP,56
801091110,LF,1177
801101134,UEMP,0
801101134,LF,3
801101135,UEMP,35
801101135,LF,1039
801101136,UEMP,0
801101136,LF,0
801101137,UEMP,0
801101137,LF,3
801101138,UEMP,6
801101138,LF,4
801101139,UEMP,37
801101139,LF,1850
801111140,UEMP,7
801111140,LF,323
801111141,UEMP,0
801111141,LF,20
897979799,UEMP,0
897979799,LF,0
901011001,UEMP,16
901011001,LF,840
901021002,UEMP,9
901021002,LF,234
901031003,UEMP,13
901031003,LF,146
901041004,UEMP,16
901041004,LF,983
997979799,UEMP,0
997979799,LF,6
499999499,UEMP,301
499999499,LF,1038
599999499,UEMP,444
599999499,LF,2215
699999499,UEMP,95
699999499,LF,345
799999499,UEMP,76
799999499,LF,647
899999499,UEMP,44
899999499,LF,248
999999499,UEMP,3
999999499,LF,18
102011028,UEMP,213
102011028,LF,3836
102011029,UEMP,225
102011029,LF,4967
102011030,UEMP,85
102011030,LF,2337
102011031,UEMP,311
102011031,LF,5932
102011032,UEMP,686
102011032,LF,9184
102011033,UEMP,215
102011033,LF,3366
102011034,UEMP,187
102011034,LF,3136
102011035,UEMP,197
102011035,LF,3489
102011036,UEMP,236
102011036,LF,4146
102011037,UEMP,187
102011037,LF,3002
102011038,UEMP,158
102011038,LF,3346
102011039,UEMP,350
102011039,LF,6924
102011040,UEMP,775
102011040,LF,9954
102011041,UEMP,198
102011041,LF,4872
102011042,UEMP,474
102011042,LF,5767
102011043,UEMP,382
102011043,LF,5074
102021044,UEMP,631
102021044,LF,9958
102021045,UEMP,468
102021045,LF,5020
102021046,UEMP,344
102021046,LF,3932
102021047,UEMP,455
102021047,LF,7707
102021048,UEMP,820
102021048,LF,9106
102021049,UEMP,58
102021049,LF,1699
102021050,UEMP,321
102021050,LF,4277
102021051,UEMP,133
102021051,LF,2598
102021052,UEMP,203
102021052,LF,2550
102021053,UEMP,519
102021053,LF,6343
