School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Bondi Public School,Bondi,2026,Coed,Primary School,-33.892625,151.264753,118011339
Bourke Street Public School,Surry Hills,2010,Coed,Primary School,-33.890534,151.215737,117031336
Chatswood Public School,Chatswood,2067,Coed,Primary School,-33.798242,151.17759,121011399
Croydon Public School,Croydon,2132,Coed,Primary School,-33.879793,151.114887,120031391
Croydon Park Public School,Croydon Park,2133,Coed,Primary School,-33.894695,151.108395,120031393
Daceyville Public School,Daceyville,2032,Coed,Primary School,-33.929548,151.227984,117011323
Darlinghurst Public School,Potts Point,2011,Coed,Primary School,-33.878599,151.223432,117031329
Eastwood Public School,Eastwood,2122,Coed,Primary School,-33.792743,151.078474,126021497
Gardeners Road Public School,ROSEBERY,2018,Coed,Primary School,-33.920643,151.198034,117031338
Glebe Public School,Glebe,2037,Coed,Primary School,-33.883685,151.19097,117031331
Hamilton Public School,Hamilton,2303,Coed,Primary School,-32.924141,151.74331,111031224
Kurri Kurri Public School,Kurri Kurri,2327,Coed,Primary School,-32.821099,151.478156,106011111
Leichhardt Public School,LEICHHARDT,2040,Coed,Primary School,-33.88427,151.15814,120021388
Liverpool Public School,Liverpool,2170,Coed,Primary School,-33.923572,150.925924,127031598
Maroubra Junction Public School,Maroubra,2035,Coed,Primary School,-33.936072,151.236652,118021568
Mosman Public School,Mosman,2088,Coed,Primary School,-33.828052,151.241198,121041415
Newtown Public School,Newtown,2042,Coed,Primary School,-33.899991,151.179405,117031332
Paddington Public School,Paddington,2021,Coed,Primary School,-33.887603,151.230188,118011345
Rozelle Public School,Rozelle,2039,Coed,Primary School,-33.862581,151.169749,120021389
Stanmore Public School,Stanmore,2048,Coed,Primary School,-33.895506,151.165283,117021327
Woollahra Public School,Woollahra,2025,Coed,Primary School,-33.886379,151.24119,118011347
Rosehill Public School,ROSEHILL,2142,Coed,Primary School,-33.824229,151.018376,125041492
Woy Woy Public School,Woy Woy,2256,Coed,Primary School,-33.491705,151.328247,102011042
Albury High School,Albury,2640,Coed,Secondary School,-36.072846,146.915442,109011174
"Denison College of Secondary Education, Bathurst High Campus",Bathurst,2795,Coed,Secondary School,-33.413383,149.569679,103011058
Bowral High School,Bowral,2576,Coed,Secondary School,-34.488816,150.423432,114021284
Broken Hill High School,Broken Hill,2880,Coed,Secondary School,-31.960105,141.456986,105021097
Canterbury Boys High School,Canterbury,2193,Boys,Secondary School,-33.904178,151.123884,120031390
Cessnock High School,Cessnock,2325,Coed,Secondary School,-32.842954,151.368528,106011108
Coffs Harbour High School,Coffs Harbour,2450,Coed,Secondary School,-30.305319,153.135846,104021085
Dubbo College Senior Campus,Dubbo,2830,Coed,Secondary School,-32.233022,148.625549,105031100
Farrer Memorial Agricultural High School,Calala,2340,Boys,Secondary School,-31.138453,150.979996,110041202
Glen Innes High School,Glen Innes,2370,Coed,Secondary School,-29.744294,151.742487,110021190
Gosford High School,Gosford,2250,Coed,Secondary School,-33.417183,151.341388,102011032
Goulburn High School,Goulburn,2580,Coed,Secondary School,-34.746861,149.711241,101051539
Grafton High School,GRAFTON,2460,Coed,Secondary School,-29.682105,152.932509,104011080
Hay War Memorial High School,Hay,2711,Coed,Secondary School,-34.504747,144.839262,109021177
Hornsby Girls High School,Hornsby,2077,Girls,Secondary School,-33.706627,151.101083,121021577
Hurlstone Agricultural High School,Glenfield,2167,Coed,Secondary School,-33.970383,150.893629,123021442
Inverell High School,Inverell,2360,Coed,Secondary School,-29.765729,151.110782,110021191
Kempsey High School,Kempsey,2440,Coed,Secondary School,-31.06806,152.824202,108021155
"The Rivers Secondary College, Lismore High Campus",Lismore,2480,Coed,Secondary School,-28.820823,153.297294,112021248
Lithgow High School,LITHGOW,2790,Coed,Secondary School,-33.485739,150.166271,103031070
Maitland High School,EAST MAITLAND,2323,Coed,Secondary School,-32.747365,151.597333,106021115
Maitland Grossmann High School,East Maitland,2323,Coed,Secondary School,-32.743453,151.591504,106021115
Mudgee High School,Mudgee,2850,Coed,Secondary School,-32.597793,149.583627,103031072
Murwillumbah High School,Murwillumbah,2484,Coed,Secondary School,-28.336032,153.391648,112031251
North Sydney Boys High School,Crows Nest,2065,Boys,Secondary School,-33.829336,151.207734,121041417
North Sydney Girls High School,Crows Nest,2065,Girls,Secondary School,-33.830244,151.203447,121041414
Orange High School,Orange,2800,Coed,Secondary School,-33.280352,149.084361,103041077
Parramatta High School,Parramatta,2150,Coed,Secondary School,-33.817883,150.996083,125041492
St George Girls High School,Kogarah,2217,Girls,Secondary School,-33.959073,151.136035,119041378
Sydney Boys High School,MOORE PARK,2021,Boys,Secondary School,-33.892165,151.218904,118011345
Sydney Girls High School,Surry Hills,2010,Girls,Secondary School,-33.894191,151.220371,118011345
Tamworth High School,South Tamworth,2340,Coed,Secondary School,-31.105768,150.916936,110041202
Taree High School,Taree,2430,Coed,Secondary School,-31.909866,152.46386,108051169
Sydney Technical High School,Bexley,2207,Boys,Secondary School,-33.963075,151.114342,119041376
Wagga Wagga High School,Wagga Wagga,2650,Coed,Secondary School,-35.124438,147.364366,113031269
Wollongong High School of the Performing Arts,Fairy Meadow,2519,Coed,Secondary School,-34.406432,150.889188,107041144
Yanco Agricultural High School,Yanco,2703,Coed,Secondary School,-34.632239,146.383678,113011258
Parkes High School,Parkes,2870,Coed,Secondary School,-33.138824,148.18025600000001,103021067
Conservatorium High School,Sydney,2000,Coed,Secondary School,-33.863407,151.21408,117031337
Cowra High School,Cowra,2794,Coed,Secondary School,-33.814136,148.688347,103021063
Katoomba High School,Katoomba,2780,Coed,Secondary School,-33.727402,150.314399,124011452
Homebush Boys High School,Homebush,2140,Boys,Secondary School,-33.866059,151.077132,120031396
Burwood Girls High School,CROYDON,2132,Girls,Secondary School,-33.875318,151.113036,120031391
Casino High School,Casino,2470,Coed,Secondary School,-28.845167,153.0437,112021244
Young High School,Young,2594,Coed,Secondary School,-34.317142,148.291705,101061543
Leeton High School,Leeton,2705,Coed,Secondary School,-34.54684,146.405976,113011258
Narrandera High School,Narrandera,2700,Coed,Secondary School,-34.74421,146.567177,113011259
Willoughby Girls High School,Willoughby,2068,Girls,Secondary School,-33.803128,151.199957,121011402
Randwick Boys High School,Randwick,2031,Boys,Secondary School,-33.924712,151.238771,118021570
Macksville High School,Macksville,2447,Coed,Secondary School,-30.714945,152.91701,108021157
Penrith High School,Penrith,2750,Coed,Secondary School,-33.756721,150.706537,124031464
Muswellbrook High School,Muswellbrook,2333,Coed,Secondary School,-32.268737,150.897592,106041126
Bega High School,Bega,2550,Coed,Secondary School,-36.678459,149.838766,101041019
Wyong High School,WYONG,2259,Coed,Secondary School,-33.281328,151.417918,102021057
Temora High School,Temora,2666,Coed,Secondary School,-34.441897,147.539525,113031266
Strathfield Girls High School,Strathfield,2135,Girls,Secondary School,-33.873901,151.084571,120031575
Narrabri High School,NARRABRI,2390,Coed,Secondary School,-30.335548,149.78267,110031197
Kiama High School,Kiama,2533,Coed,Secondary School,-34.68066,150.847197,107031138
Wauchope High School,Wauchope,2446,Coed,Secondary School,-31.450894,152.731158,108041166
Quirindi High School,Quirindi,2343,Coed,Secondary School,-31.501631,150.680087,110041201
Liverpool Girls High School,Liverpool,2170,Girls,Secondary School,-33.917986,150.931475,127031598
Kurri Kurri High School,Kurri Kurri,2327,Coed,Secondary School,-32.810142,151.486294,106011111
Richmond High School,Richmond,2753,Coed,Secondary School,-33.600535,150.746715,124041466
Junee High School,Junee,2663,Coed,Secondary School,-34.869115,147.59276500000001,113031265
Campbelltown Performing Arts High School,Campbelltown,2560,Coed,Secondary School,-34.060108,150.822959,123021437
Punchbowl Boys High School,Punchbowl,2196,Boys,Secondary School,-33.924027,151.052954,119021366
Liverpool Boys High School,LIVERPOOL,2170,Boys,Secondary School,-33.917157,150.93154,127031598
East Hills Girls Technology High School,Panania,2213,Girls,Secondary School,-33.956866,150.992016,119011359
Gunnedah High School,Gunnedah,2380,Coed,Secondary School,-30.982637,150.248768,110041199
Kyogle High School,Kyogle,2474,Coed,Secondary School,-28.625772,153.001529,112021247
Cootamundra High School,Cootamundra,2590,Coed,Secondary School,-34.635419,148.017191,113031263
Corrimal High School,Corrimal,2518,Coed,Secondary School,-34.374243,150.91071,107041145
Mullumbimby High School,Mullumbimby,2482,Coed,Secondary School,-28.558569,153.494604,112011243
Forbes High School,Forbes,2871,Coed,Secondary School,-33.364596,148.011352,103021065
Ballina Coast High School,Ballina,2478,Coed,Secondary School,-28.866603,153.565058,112011236
Monaro High School,Cooma North,2629,Coed,Secondary School,-36.216655,149.134021,101031014
Wellington High School,Wellington,2820,Coed,Secondary School,-32.546677,148.947815,105031106
Nowra High School,Nowra,2541,Coed,Secondary School,-34.872966,150.609361,114011278
Singleton High School,SINGLETON,2330,Coed,Secondary School,-32.569684,151.177593,106011112
Belmont High School,BELMONT,2280,Coed,Secondary School,-33.027147,151.660114,111011206
Dapto High School,Dapto,2530,Coed,Secondary School,-34.499054,150.785868,107011131
Illawarra Sports High School,Berkeley,2506,Coed,Secondary School,-34.480849,150.853331,107011545
East Hills Boys High School,Panania,2213,Boys,Secondary School,-33.957229,150.994115,119011359
Hunters Hill High School,Hunters Hill,2110,Coed,Secondary School,-33.832696,151.148509,126021499
Cheltenham Girls High School,Beecroft,2119,Girls,Secondary School,-33.75627,151.074096,126011496
Cabramatta High School,Cabramatta,2166,Coed,Secondary School,-33.901422,150.928913,127021511
Lake Macquarie High School,Booragul,2284,Coed,Secondary School,-32.975553,151.613863,111021215
Normanhurst Boys High School,Normanhurst,2076,Boys,Secondary School,-33.721475,151.101466,121021406
Birrong Boys High School,Birrong,2143,Boys,Secondary School,-33.894047,151.025024,119011361
"The Rivers Secondary College, Richmond River High Campus",North Lismore,2480,Coed,Secondary School,-28.798765,153.279612,112021248
Picton High School,Picton,2571,Coed,Secondary School,-34.194467,150.608418,123031447
Queanbeyan High School,Queanbeyan,2620,Coed,Secondary School,-35.353243,149.220484,101021009
Camden High School,Camden,2570,Coed,Secondary School,-34.0768,150.6785,123011433
Deniliquin High School,Deniliquin,2710,Coed,Secondary School,-35.53627,144.961269,109031182
Hunter River High School,Heatherbrae,2324,Coed,Secondary School,-32.781835,151.732798,106031122
Randwick Girls High School,Randwick,2031,Girls,Secondary School,-33.921832,151.23944,118021570
Kingsgrove North High School,KINGSGROVE,2208,Coed,Secondary School,-33.93398,151.097628,119021364
Asquith Girls High School,Asquith,2077,Girls,Secondary School,-33.689716,151.11275,121021403
Bass High School,Bass Hill,2197,Coed,Secondary School,-33.897941,150.989379,119011354
Blacktown Girls High School,Blacktown,2148,Girls,Secondary School,-33.761976,150.910792,116011303
Marsden High School,West Ryde,2114,Coed,Secondary School,-33.803326,151.071124,126021503
Merrylands High School,Merrylands,2160,Coed,Secondary School,-33.840847,150.96957,125031484
Northmead Creative and Performing Arts High School,Northmead,2152,Coed,Secondary School,-33.788092,150.999661,125041491
Port Hacking High School,MIRANDA,2228,Coed,Secondary School,-34.032395,151.097257,128011530
Seven Hills High School,Seven Hills,2147,Coed,Secondary School,-33.762705,150.94487,116011307
Chatswood High School,Chatswood,2067,Coed,Secondary School,-33.800013,151.175324,121011399
Hunter Sports High School,Gateshead,2290,Coed,Secondary School,-32.985494,151.691142,111011208
James Ruse Agricultural High School,Carlingford,2118,Coed,Secondary School,-33.780624,151.043204,125021476
Blakehurst High School,Blakehurst,2221,Coed,Secondary School,-33.980406,151.11324,119031374
Caringbah High School,Caringbah,2229,Coed,Secondary School,-34.034901,151.120399,128011602
Moorefield Girls High School,Kogarah,2217,Girls,Secondary School,-33.968311,151.137739,119041378
Riverside Girls High School,Gladesville,2111,Girls,Secondary School,-33.840079,151.141467,126021498
Blacktown Boys High School,Blacktown,2148,Boys,Secondary School,-33.762057,150.912543,116011303
Asquith Boys High School,Asquith,2077,Boys,Secondary School,-33.692276,151.103016,121021403
Heathcote High School,Heathcote,2233,Coed,Secondary School,-34.082295,151.01441,128021533
Kingsgrove High School,Kingsgrove,2208,Coed,Secondary School,-33.948519,151.101653,119041377
Matraville Sports High School,Chifley,2036,Coed,Secondary School,-33.964747,151.244548,118021350
Sir Joseph Banks High School,Revesby,2212,Coed,Secondary School,-33.939698,151.020907,119011360
Strathfield South High School,Enfield,2136,Coed,Secondary School,-33.885382,151.071235,120031575
Auburn Girls High School,Auburn,2144,Girls,Secondary School,-33.84288,151.033681,125011583
Bankstown Girls High School,Bankstown,2200,Girls,Secondary School,-33.920754,151.032138,119011572
Beverly Hills Girls High School,Beverly Hills,2209,Girls,Secondary School,-33.948461,151.078627,119031370
Bellingen High School,Bellingen,2454,Coed,Secondary School,-30.455123,152.908442,104021083
Callaghan College Wallsend Campus,Wallsend,2287,Coed,Secondary School,-32.89295,151.669289,111031233
Bonnyrigg High School,Bonnyrigg,2177,Coed,Secondary School,-33.894982,150.893167,127021509
Cronulla High School,Cronulla,2230,Coed,Secondary School,-34.038439,151.159056,128011604
Ingleburn High School,Ingleburn,2565,Coed,Secondary School,-34.005121,150.87152,123021440
J J Cahill Memorial High School,Mascot,2020,Coed,Secondary School,-33.927435,151.201835,117011322
Sefton High School,SEFTON,2162,Coed,Secondary School,-33.879538,151.008799,125031479
James Fallon High School,NORTH ALBURY,2640,Coed,Secondary School,-36.060244,146.928971,109011173
Glenwood High School,Glenwood,2768,Coed,Secondary School,-33.733029,150.937429,116021309
Chester Hill High School,Chester Hill,2162,Coed,Secondary School,-33.874032,150.995411,125031479
Wee Waa High School,Wee Waa,2388,Coed,Secondary School,-30.219777,149.457028,110031198
Lucas Heights Community School,Barden Ridge,2234,Coed,Central/Community School,-34.035778,151.004817,128021535
Coffs Harbour Senior College,Coffs Harbour,2450,Coed,Secondary School,-30.330173,153.102656,104021085
Cecil Hills High School,Cecil Hills,2171,Coed,Secondary School,-33.895704,150.852043,127011593
Tuggerah Lakes Secondary College Tumbi Umbi Campus,Tumbi Umbi,2261,Coed,Secondary School,-33.395596,151.454054,102011041
Glenmore Park High School,Glenmore Park,2745,Coed,Secondary School,-33.791012,150.672564,124031460
Wyndham College,Quakers Hill,2763,Coed,Secondary School,-33.724004,150.875297,116021563
