"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"21324","EDU_EXP","GNI","L5T8","_T","_T","CUR","GOV","_T","_Z","_Z","WS","2016","0.38232","0","A","5","A"
"21325","XUNIT","USD_CONST","L2_3","_T","_T","_T","GOV","FFNTP","_Z","_Z","MM","2017","135.79754","0","A","5","A"
"21326","EDU_EXP","EXP_T","L1","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","BB","2016","12.99085","0","A","5","A"
"21327","EDU_EXP","CUR_EXP","L02","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","AW","2016","94.85041","0","A","5","A"
"21328","EDU_EXP","EXP_T","L2","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","PE","2017","10.75128","0","A","5","A"
"21329","EDU_EXP","USD","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","IR","2016","1368.31136","0","A","5","A"
"21330","EDU_EXP","USD","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","IR","2017","1495.26984","0","A","5","A"
"21331","XUNIT","PPP_CONST","L1","_T","_T","_T","GOV","FFNTR","_Z","_Z","JP","2016","8998.04763","0","A","5","A"
"21332","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","NA","2016","80.54410","0","A","5","A"
"21333","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","NA","2017","100","0","A","5","A"
"21334","EDU_EXP","GDP","L1","_T","INST_T","_T","HH","_T","_Z","_Z","KG","2016","0.01121","0","A","5","A"
"21335","XUNIT","USD_CONST","L5T8","_T","_T","_T","HH","FFNTR","_Z","_Z","NZ","2016","496.19813","0","A","5","A"
"21336","EDU_EXP","GNI","L5T8","_T","_T","CUR","GOV","_T","_Z","_Z","NZ","2016","1.63726","0","A","5","A"
"21337","XUNIT","GDP_CAP","L1","_T","_T","CUR","GOV","FFNTP","_Z","_Z","GD","2016","44.11754","0","A","5","A"
"21338","EDU_EXP","USD","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","ZA","2016","690.90324","0","A","5","A"
"21339","EDU_EXP","USD","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","ZA","2017","621.14204","0","A","5","A"
"21340","EDU_EXP","CUR_EXP","L4","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","GD","2016","0","0","A","5","Z"
"21341","XUNIT","USD","L2","_T","_T","_T","GOV","FFNTR","_Z","_Z","BN","2016","6512.83862","0","A","5","A"
"21342","EDU_EXP","GOV_EXP_T","_X","_T","_T","_T","GOV","_T","_Z","_Z","WS","2016","0","0","A","5","A"
"21343","EDU_EXP","EXP_T","L1","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","TV","2017","80.51123","0","A","5","A"
"21344","EDU_EXP","EXP_T","L4","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","MR","2016","0","0","A","5","Z"
"21345","XUNIT","GDP_CAP","L5T8","_T","_T","_T","GOV","FFNTR","_Z","_Z","GD","2016","11.63210","0","A","5","A"
"21346","XASTRP","GDP_CAP","L3","C5","_T","_T","GOV","FFNTP","Y1","NONPERM","EC","2016","105.90631","0","A","5","A"
"21347","EDU_EXP","GOV_EXP_T","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","AL","2016","2.59682","0","A","5","A"
"21348","EDU_EXP","CUR_EXP","L2_3","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","BF","2016","16.41252","0","A","5","A"
"21349","EDU_EXP","CUR_EXP","L1","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","BB","2016","79.19072","0","A","5","A"
"21350","EDU_EXP","EXP_T","L4","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","BN","2016","0","0","A","5","Z"
"21351","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","NU","2016","0","0","A","5","A"
"21352","XUNIT","PPP","L2","_T","_T","_T","GOV","FFNTR","_Z","_Z","MM","2017","413.42007","0","A","5","A"
"21353","XUNIT","GNI_CAP","L4","_T","_T","_T","GOV","FFNTP","_Z","_Z","SS","2016","123.92796","0","A","5","A"
"21354","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","OM","2016","27.30469","0","A","5","A"
"21355","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","OM","2017","46.67053","0","A","5","A"
"21356","EDU_EXP","CUR_EXP","L2_3","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","EG","2017","63.10410","0","A","5","A"
"21357","EDU_EXP","CUR_EXP","L5T8","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","BN","2016","40.59784","0","A","5","A"
"21358","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","AL","2016","79.34438","0","A","5","A"
"21359","EDU_EXP","CUR_EXP","L1","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","TV","2017","23.07617","0","A","5","A"
"21360","EDU_EXP","GOV_EXP_T","L2_3","_T","_T","_T","GOV","_T","_Z","_Z","AM","2016","5.20815","0","A","5","A"
"21361","EDU_EXP","GDP","L1","_T","_T","_T","HH","FFNTR","_Z","_Z","SC","2016","0","0","A","5","A"
"21362","EDU_EXP","GOV_EXP_T","L2","_T","_T","_T","GOV","_T","_Z","_Z","DJ","2016","0.03965","0","A","5","A"
"21363","EDU_EXP","GDP","L1","_T","INST_T","_T","GOV","_T","_Z","_Z","SS","2016","0.54425","0","A","5","A"
"21364","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","AL","2016","77.30732","0","A","5","A"
"21365","XUNIT","USD","L2","_T","_T","_T","GOV","FFNTP","_Z","_Z","AM","2016","507.77347","0","A","5","A"
"21366","EDU_EXP","GOV_EXP_EDU","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","WS","2016","9.18175","0","A","5","A"
"21367","EDU_EXP","USD_CONST","L2","_T","_T","_T","GOV","_T","_Z","_Z","MU","2017","375.91855","0","A","5","A"
"21368","EDU_EXP","CUR_EXP","L2_3","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","TV","2017","69.06687","0","A","5","A"
"21369","EDU_EXP","EXP_T","L2","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","VC","2017","95.27382","0","A","5","A"
"21370","EDU_EXP","GOV_EXP_EDU","L2","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","SS","2016","100","0","A","5","A"
"21371","XUNIT","USD_CONST","L4","_T","_T","_T","GOV","FFNTP","_Z","_Z","GD","2016","1975.30864","0","A","5","A"
"21372","EDU_EXP","GOV_EXP_EDU","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","NA","2016","0","0","A","5","A"
"21373","EDU_EXP","GOV_EXP_EDU","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","NA","2017","0","0","A","5","A"
"21374","XUNIT","USD_CONST","L2","_T","_T","_T","GOV","FFNTR","_Z","_Z","SC","2016","2423.92580","0","A","5","A"
"21375","EDU_EXP","GOV_EXP_EDU","L3","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","NE","2016","99.74940","0","A","5","A"
"21376","EDU_EXP","GOV_EXP_EDU","L3","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","NE","2017","99.71330","0","A","5","A"
"21377","EDU_EXP","CUR_EXP","L5T8","_T","_T","CUR","GOV","_T","_Z","_Z","GD","2016","10.33562","0","A","5","A"
"21378","EDU_EXP","USD","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","WS","2016","3.01263","0","A","5","A"
"21379","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","NU","2016","100","0","A","5","A"
"21380","XUNIT","GDP_CAP","L2_3","_T","_T","_T","GOV","FFNTP","_Z","_Z","JP","2016","23.95183","0","A","5","A"
"21381","XUNIT","GDP_CAP","L4","_T","_T","_T","GOV","FFNTP","_Z","_Z","MU","2016","30.37388","0","A","5","A"
"21382","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","NE","2016","20.24485","0","A","5","A"
"21383","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","NE","2017","23.11986","0","A","5","A"
"21384","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","ID","2017","55.46381","0","A","5","A"
"21385","EDU_EXP","GOV_EXP_EDU","L4","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","MM","2017","48.36853","0","A","5","A"
"21386","EDU_EXP","GOV_EXP_T","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","GD","2016","4.09621","0","A","5","A"
"21387","EDU_EXP","EXP_T","_T","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","CR","2016","81.21457","0","A","5","A"
"21388","EDU_EXP","EXP_T","_T","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","CR","2017","55.93590","0","A","5","A"
"21389","EDU_EXP","GOV_EXP_T","L4","_T","_T","_T","GOV","_T","_Z","_Z","MM","2017","0.30131","0","A","5","A"
"21390","EDU_EXP","PPP_CONST","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","BF","2016","79.19649","0","A","5","A"
"21391","EDU_EXP","GDP","_T","_T","_T","_T","HH","_T","_Z","_Z","JP","2016","1.75301","0","A","5","A"
"21392","XUNIT","GDP_CAP","L3","_T","_T","_T","GOV","FFNTP","_Z","_Z","BN","2016","24.99905","0","A","5","A"
"21393","EDU_EXP","PPP_CONST","_X","_T","_T","_T","GOV","_T","_Z","_Z","GD","2016","2.72535","0","A","5","A"
