SA2_CODE,ENG_NOT_WELL,ENG_ONLY,ENG_UNKNOWN,ENG_V_WELL,ENG_WELL,ENG_NOT_WELL_CHILD,ENG_NOT_WELL_RETIRED,ENG_NOT_WELL_WORKING_AGE,ENG_ONLY_CHILD,ENG_ONLY_RETIRED,ENG_ONLY_WORKING_AGE,ENG_UNKNOWN_CHILD,ENG_UNKNOWN_RETIRED,ENG_UNKNOWN_WORKING_AGE,ENG_V_WELL_CHILD,ENG_V_WELL_RETIRED,ENG_V_WELL_WORKING_AGE,ENG_WELL_CHILD,ENG_WELL_RETIRED,ENG_WELL_WORKING_AGE,PERC_ENG_ONLY,PERC_ENG_NOT_WELL,ENG_PROFICIENT
127031600,856,6941,1006,6638,2148,154,203,499,2432,494,4015,320,126,560,1353,187,5098,272,221,1655,0.39462163852407756,0.04866678037409745,15727
127031601,619,1606,1016,1593,916,83,126,410,335,215,1056,213,154,649,319,38,1236,98,103,715,0.27930434782608693,0.10765217391304348,4115
128011529,150,15312,575,1108,326,39,38,73,3151,2477,9684,110,133,332,154,119,835,30,70,226,0.8764237879915289,0.008585656230324538,16746
128011530,376,13882,925,2114,897,80,106,190,2672,2849,8361,182,206,537,295,247,1572,80,207,610,0.7629987908101572,0.020666153677036385,16893
128011531,400,10789,826,2942,978,64,146,190,2061,2979,5749,148,273,405,423,320,2199,82,299,597,0.6770630687166614,0.025101976780671477,14709
128011602,163,9403,683,1087,428,28,55,80,1788,1542,6073,149,122,412,173,107,807,51,59,318,0.7993029581774906,0.013855831349880993,10918
128011603,70,10732,393,697,146,10,36,24,2254,1945,6533,69,86,238,103,112,482,16,54,76,0.891510217644127,0.005814919421830869,11575
128011604,131,19790,1638,1527,402,38,27,66,2945,3357,13488,225,264,1149,192,170,1165,33,68,301,0.8425579019073569,0.005577316076294278,21719
128011605,10,2793,69,226,41,3,7,0,570,426,1797,16,7,46,36,38,152,4,20,17,0.8897738133163428,0.0031857279388340237,3060
128011606,43,6753,262,538,108,20,7,16,1399,1028,4326,50,38,174,61,81,396,10,52,46,0.8765576323987538,0.0055815160955347875,7399
128021533,14,6069,142,239,68,3,7,4,1216,1172,3681,23,41,78,29,41,169,6,23,39,0.9291181873851806,0.0021432945499081446,6376
128021534,212,7537,269,1875,482,29,81,102,1385,944,5208,42,53,174,218,177,1480,48,154,280,0.7264578313253012,0.020433734939759036,9894
128021535,221,17601,685,2050,578,34,86,101,3601,2051,11949,136,124,425,258,197,1595,60,169,349,0.8327892122072392,0.010456588597113792,20229
128021536,223,18117,707,1609,562,43,70,110,4154,2823,11140,150,135,422,277,165,1167,66,118,378,0.8538505042888114,0.010509944386841361,20288
128021537,0,27,4,0,0,0,0,0,7,0,20,0,0,4,0,0,0,0,0,0,0.8709677419354839,0,27
128021538,330,16635,1029,2047,811,74,84,172,3071,2998,10566,215,203,611,297,169,1581,76,126,609,0.7977652023786687,0.01582582006522156,19493
128021607,73,15559,416,738,185,23,9,41,3707,2641,9211,98,96,222,132,96,510,25,44,116,0.9167992457721996,0.004301455423958518,16482
128021608,16,6713,165,264,51,4,3,9,1456,1076,4181,38,34,93,41,23,200,3,11,37,0.9311971147177139,0.0022194479123318076,7028
128021609,3,3400,68,146,16,0,3,0,649,305,2446,11,6,51,18,20,108,3,3,10,0.9358656757500688,8.257638315441783e-4,3562
197979799,17,264,44,18,25,0,8,9,23,94,147,4,20,20,3,6,9,0,14,11,0.717391304347826,0.04619565217391304,307
199999499,264,7225,3289,934,597,19,14,231,555,1144,5526,98,326,2865,51,33,850,20,31,546,0.5869688845560159,0.021447721179624665,8756
