SA2_MAINCODE_2016,SA2_NAME_2016,IS_SYDNEY,IS_SUA,TOTAL_POP,LAB_FORCE,PERC_LAB_FORCE
104011082,Maclean - Yamba - Iluka,0,0,16567,5746,0.3468340677249955
104011081,Grafton Region,0,0,15611,6176,0.39561847415284096
104021091,Woolgoolga - Arrawarra,0,1,12830,5272,0.41091192517537023
104011080,Grafton,0,1,19037,7225,0.37952408467720755
104021089,Sawtell - Boambee,0,1,19889,8686,0.43672381718537884
104021084,Coffs Harbour - North,0,1,17845,7405,0.4149621742785094
104021085,Coffs Harbour - South,0,1,10531,4289,0.40727376317538694
104021088,Korora - Emerald Beach,0,1,9011,4245,0.4710908889135501
104021086,Coramba - Nana Glen - Bucca,0,0,3917,1848,0.4717896349246873
109031183,Deniliquin Region,0,0,6838,3156,0.46153846153846156
113031266,Temora,0,0,6828,2858,0.4185705916813122
113031271,Wagga Wagga Region,0,0,15069,7266,0.48218196297033644
101021011,Queanbeyan Region,0,0,17291,9078,0.5250130125498814
101031014,Cooma,0,0,6870,3042,0.4427947598253275
105011094,Coonamble,0,0,4245,1666,0.3924617196702002
113031263,Cootamundra,0,0,7677,2992,0.38973557379184576
113031264,Gundagai,0,0,3637,1658,0.45587022271102556
109031181,Corowa Region,0,0,6845,2860,0.4178232286340394
109031180,Corowa,0,0,5539,2350,0.42426430763675754
103021063,Cowra,0,0,9300,3639,0.39129032258064517
109031182,Deniliquin,0,0,7556,3278,0.43382742191635787
105031102,Dubbo - West,0,1,9039,4070,0.4502710476822657
105031101,Dubbo - South,0,1,17389,8480,0.48766461556156193
105031100,Dubbo - East,0,1,10690,5103,0.4773620205799813
106011110,Dungog,0,0,9101,4111,0.45170860345017033
101041026,Moruya - Tuross Head,0,0,8070,3080,0.38166047087980176
101041021,Broulee - Tomakin,0,0,3341,1286,0.3849146961987429
101041018,Batemans Bay - South,0,1,8510,3130,0.36780258519388953
101041024,Eurobodalla Hinterland,0,0,3379,1500,0.4439183190292986
101041017,Batemans Bay,0,1,7871,2764,0.3511624952356753
127021512,Cabramatta West - Mount Pritchard,1,1,17713,6940,0.39180263083610906
127021513,Canley Vale - Canley Heights,1,1,21458,8466,0.3945381675831858
127021516,Fairfield - West,1,1,19801,7122,0.359678804100803
127021511,Cabramatta - Lansvale,1,1,25492,10005,0.3924760709242115
127021519,Smithfield - Wetherill Park,1,1,18591,7252,0.3900812220967135
127021515,Fairfield,1,1,18435,6006,0.325793327908869
125031480,Fairfield - East,1,1,16049,5475,0.3411427503271232
125031482,Greystanes - Pemulwuy,1,1,27290,12664,0.4640527665811653
127021510,Bossley Park - Abbotsbury,1,1,19498,8637,0.44296850959072726
127021509,Bonnyrigg Heights - Bonnyrigg,1,1,16558,6863,0.4144824254136973
127021514,Edensor Park,1,1,10198,4534,0.44459697979996077
127021517,Greenfield Park - Prairiewood,1,1,8636,3424,0.396479851783233
127021520,St Johns Park - Wakeley,1,1,11175,4640,0.4152125279642058
127021518,Horsley Park - Kemps Creek,1,1,4650,2134,0.4589247311827957
103021062,Condobolin,0,0,6807,2852,0.41898046128984867
105031104,Gilgandra,0,0,4441,1963,0.44201756361179917
110021190,Glen Innes,0,0,8934,3509,0.39276919632863216
108051167,Gloucester,0,0,5108,1955,0.38273296789350036
108051170,Taree Region,0,0,12538,4745,0.3784495134790238
102011038,Saratoga - Davistown,1,1,7195,3346,0.465045170257123
102011029,Box Head - MacMasters Beach,1,1,10995,4967,0.45175079581628014
102011031,Erina - Green Point,1,1,14342,5932,0.41361037512201926
102011034,Kincumber - Picketts Valley,1,1,7483,3136,0.41908325537885877
102011028,Avoca Beach - Copacabana,1,1,7626,3836,0.5030159979019145
102011039,Terrigal - North Avoca,1,1,13939,6924,0.4967357773154459
102011041,Wamberal - Forresters Beach,1,1,10069,4872,0.4838613566391896
102011043,Wyoming,1,1,11773,5074,0.4309861547608936
102011032,Gosford - Springfield,1,1,19382,9184,0.47384170880198123
102011036,Niagara Park - Lisarow,1,1,8201,4146,0.5055481038897696
102011033,Kariong,1,1,6586,3366,0.5110841178256909
102011040,Umina - Booker Bay - Patonga,1,1,24235,9954,0.41072828553744584
102011037,Point Clare - Koolewong,1,1,6389,3002,0.4698700892158397
102011042,Woy Woy - Blackwall,1,1,14216,5767,0.40566966797974113
102011035,Narara,1,1,6848,3489,0.5094918224299065
102011030,Calga - Kulnura,1,0,4858,2337,0.48106216550020586
101051539,Goulburn,0,1,23415,10415,0.4448003416613282
101051540,Goulburn Region,0,0,12905,5955,0.4614490507555211
101021007,Braidwood,0,0,3950,1721,0.4356962025316456
108051171,Wingham,0,1,5491,2066,0.376252048807139
108051169,Taree,0,1,20894,7434,0.35579592227433715
108051168,Old Bar - Manning Point - Red Head,0,0,10661,4201,0.3940530907044367
108011153,Forster-Tuncurry Region,0,0,6216,2221,0.3573037323037323
113021260,Tumbarumba,0,0,3491,1525,0.43683758235462616
108011151,Bulahdelah - Stroud,0,0,4785,1993,0.41650992685475446
106031124,Tea Gardens - Hawks Nest,0,0,5112,1539,0.301056338028169
108011154,Tuncurry,0,1,6284,1821,0.28978357733927435
108011152,Forster,0,1,14571,4970,0.34108846338617804
106031125,Williamtown - Medowie - Karuah,0,0,14004,6450,0.4605826906598115
113011256,Griffith (NSW),0,1,19709,8971,0.45517276371200976
110041199,Gunnedah,0,0,9409,4134,0.4393665639281539
110041200,Gunnedah Region,0,0,4219,2024,0.4797345342498222
110031198,Narrabri Region,0,0,4910,2192,0.44643584521384927
110021192,Inverell Region - East,0,0,5340,2030,0.3801498127340824
110021193,Inverell Region - West,0,0,6057,2492,0.411424797754664
110031196,Moree Region,0,0,5637,2599,0.4610608479687777
110041205,Tamworth Region,0,0,18823,8615,0.45768474738352016
101061543,Young,0,0,10775,4462,0.41410672853828306
108041164,Port Macquarie - West,0,1,17652,6557,0.37145932472241106
108041163,Port Macquarie - East,0,1,28724,12303,0.42831778303857404
108041165,Port Macquarie Region,0,0,5375,2423,0.4507906976744186
108041166,Wauchope,0,0,11345,4581,0.4037902159541648
115031300,Kurrajong Heights - Ebenezer,1,1,22476,11830,0.5263392062644598
124041467,Windsor - Bligh Park,1,1,15743,8045,0.5110207711363781
124041468,Yarramundi - Londonderry,1,1,7606,3327,0.4374178280305022
124041466,Richmond - Clarendon,1,1,14204,6720,0.4731061672768234
125031484,Guildford West - Merrylands West,1,1,21525,8692,0.4038095238095238
125031485,Merrylands - Holroyd,1,1,29739,12600,0.42368606879854737
125041588,Pendle Hill - Girraween,1,1,13289,5821,0.4380314545865001
125041589,Wentworthville - Westmead,1,1,16180,7591,0.469159456118665
125041492,Parramatta - Rosehill,1,1,30480,15872,0.5207349081364829
125031481,Granville - Clyde,1,1,21841,9272,0.42452268669016985
115011554,Castle Hill - East,1,1,5754,2278,0.3958985053875565
115011558,Cherrybrook,1,1,19460,9876,0.5075025693730729
115021298,Galston - Laughtondale,1,1,5367,2649,0.49357182783678033
121021403,Asquith - Mount Colah,1,1,18856,10027,0.5317670767925329
121021404,Berowra - Brooklyn - Cowan,1,1,12011,6414,0.5340104903838149
121021577,Hornsby - East,1,1,12271,6684,0.5446988835465733
126011496,Pennant Hills - Cheltenham,1,1,21175,10567,0.4990318772136954
126011495,Epping - North Epping,1,1,28126,14032,0.49889781696650787
121021406,Normanhurst - Thornleigh - Westleigh,1,1,19119,9422,0.4928082012657566
121021579,Waitara - Wahroonga (West),1,1,9899,4802,0.4850995050005051
126021497,Eastwood - Denistone,1,1,26201,12481,0.4763558642799893
126021498,Gladesville - Huntleys Point,1,1,15001,7688,0.5124991667222185
126021499,Hunters Hill - Woolwich,1,1,10855,4605,0.42422846614463383
119031372,Peakhurst - Lugarno,1,1,18586,8623,0.46395136123964276
119031368,Hurstville,1,1,24773,11577,0.46732329552335206
119031369,Mortdale - Penshurst,1,1,24761,12802,0.5170227373692501
119041377,Kingsgrove (South) - Bardwell Park,1,1,13299,6100,0.4586811038423942
119031371,Oatley - Hurstville Grove,1,1,13026,6572,0.5045294027329955
110021191,Inverell,0,0,11900,4904,0.4121008403361345
113031265,Junee,0,0,6363,2409,0.3785950023573786
108021155,Kempsey,0,1,15125,4945,0.32694214876033056
108021160,South West Rocks,0,0,5206,1726,0.33154053015751056
107031140,Kiama Hinterland - Gerringong,0,0,8051,3598,0.4469010060862005
107031139,Kiama Downs - Minnamurra,0,1,6112,2887,0.4723494764397906
107031138,Kiama,0,1,7862,3402,0.4327143220554566
114011272,Berry - Kangaroo Valley,0,0,8965,3566,0.39776910206358057
114021288,Robertson - Fitzroy Falls,0,0,3606,1673,0.463948973932335
119041382,Sans Souci - Ramsgate,1,1,16778,7837,0.4670997735129336
119031374,South Hurstville - Blakehurst,1,1,25136,12101,0.48142106938255885
119041379,Kogarah Bay - Carlton - Allawah,1,1,16807,8446,0.5025287082763135
119041378,Kogarah,1,1,11860,6197,0.5225126475548061
121031411,Turramurra,1,1,19938,8982,0.4504965392717424
121031412,Wahroonga (East) - Warrawee,1,1,18436,8732,0.4736385333044044
121031409,Pymble,1,1,17013,8301,0.4879210015870217
121031407,Gordon - Killara,1,1,22147,10335,0.46665462590870094
121031408,Lindfield - Roseville,1,1,24076,11450,0.47557733842831035
121031410,St Ives,1,1,21193,9988,0.471287689331383
112021247,Kyogle,0,0,7464,2911,0.390005359056806
111011213,Valentine - Eleebana,0,1,12340,5952,0.48233387358184765
111011212,Swansea - Caves Beach,0,1,11800,4989,0.42279661016949155
111011206,Belmont - Bennetts Green,0,1,18223,8224,0.45129781045930967
111011207,Belmont South - Blacksmiths,0,1,5745,2451,0.4266318537859008
111011210,Mount Hutton - Windale,0,1,9109,3574,0.39235920518168843
111011208,Charlestown - Dudley,0,1,24724,11767,0.4759343148357871
111011211,Redhead,0,1,3619,1591,0.4396242055816524
111011214,Warners Bay - Boolaroo,0,1,13636,6510,0.47741273100616016
111021221,West Wallsend - Barnsley - Killingworth,0,1,6616,3238,0.48941958887545345
111011209,Glendale - Cardiff - Hillsborough,0,1,23987,11676,0.4867636636511444
111021217,Edgeworth - Cameron Park,0,1,14518,7093,0.4885659181705469
111031226,Maryland - Fletcher - Minmi,0,1,13963,7138,0.511208193081716
111031233,Wallsend - Elermore Vale,0,1,20097,8969,0.4462855152510325
111021215,Bolton Point - Teralba,0,1,8722,3707,0.4250171978903921
111031222,Adamstown - Kotara,0,1,16023,8081,0.5043375148224427
111021218,Morisset - Cooranbong,0,1,15276,6109,0.3999083529719822
111021216,Bonnells Bay - Silverwater,0,1,8931,3888,0.43533758817601614
111021219,Toronto - Awaba,0,1,13765,5747,0.4175081729022884
111021220,Wangi Wangi - Rathmines,0,1,9117,4045,0.4436766480201821
121011400,Lane Cove - Greenwich,1,1,27938,14334,0.5130646431383779
121011399,Chatswood (West) - Lane Cove North,1,1,21842,11915,0.5455086530537496
121011401,St Leonards - Naremburn,1,1,11128,6586,0.5918404025880661
113011259,Narrandera,0,0,6138,2557,0.41658520690778755
113011258,Leeton,0,0,10307,4489,0.43552925196468417
120021388,Leichhardt - Annandale,1,1,27588,15094,0.5471219370740902
