SA2_CODE,DWELLING_FLAT,DWELLING_HOUSE,DWELLING_OTHER,DWELLING_SEMI,PERC_DWELLING_HOUSE,PERC_DWELLING_FLAT,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER
505011075,81,3637,13,408,0.8787146653781106,0.019569944431021984,0.09857453491181445,0.0031408552790529115
505011076,4,2728,62,88,0.9465648854961832,0.0013879250520471894,0.030534351145038167,0.021512838306731435
505011077,920,3824,33,972,0.6651591581144547,0.16002783092711775,0.16907288224038963,0.00574012871803792
505011078,92,4375,108,494,0.8630893667390018,0.01814953639771158,0.09745511935292957,0.021305977510357073
505011079,61,3945,6,312,0.9123496762257169,0.014107308048103609,0.07215541165587419,0.0013876040703052729
505011080,33,2747,3,81,0.9591480446927374,0.011522346368715084,0.028282122905027934,0.001047486033519553
505011081,0,3156,3,262,0.9225372698041509,0,0.07658579362759427,8.769365682548962e-4
505011082,201,3057,3,585,0.7948517940717629,0.05226209048361934,0.15210608424336974,7.8003120124805e-4
505011083,3,3063,3,333,0.900352733686067,8.818342151675485e-4,0.09788359788359788,8.818342151675485e-4
505021084,25,4377,22,2638,0.6197960917587085,0.0035400736335315774,0.37354856981025203,0.003115264797507788
505021085,149,4950,28,2955,0.6124721603563474,0.018436030685473892,0.3656273199703044,0.0034644889878742884
505021086,463,7146,21,2879,0.6799885812161005,0.044057474545627556,0.2739556570558569,0.0019982871824150727
505021087,0,0,0,0,NaN,NaN,NaN,NaN
505021088,304,4135,14,3642,0.5108091414453366,0.03755404570722668,0.44990735021618283,0.0017294626312538604
505021089,87,6415,108,1156,0.826036569662632,0.01120267834148854,0.1488539788823075,0.01390677311357198
505021090,109,3214,46,5196,0.37524810274372444,0.012726211325160537,0.6066549912434326,0.005370694687682429
505021091,0,0,0,0,NaN,NaN,NaN,NaN
505021092,1357,2833,32,4183,0.33706127305175493,0.16145151695419394,0.4976799524092802,0.0038072575847709696
505021093,603,3542,7,2016,0.5742542153047989,0.09776264591439689,0.32684824902723736,0.0011348897535667965
505021094,179,2339,10,840,0.6944774346793349,0.053147268408551065,0.2494061757719715,0.0029691211401425177
505021095,829,1722,19,3995,0.2623000761614623,0.12627570449352626,0.6085300837776085,0.002894135567402894
505021096,663,3816,20,1198,0.669826224328594,0.11637704054765666,0.21028611549938564,0.0035106196243637
505021097,1436,3333,40,2886,0.4331384015594542,0.1866146848602989,0.3750487329434698,0.005198180636777128
505031098,0,3764,4,473,0.8875265267625561,0,0.11153029945767508,9.431737797689225e-4
505031099,83,7865,18,1051,0.8722413219474326,0.009204835311079074,0.11655761339691693,0.0019962293445713653
505031100,3,5400,0,370,0.9353888792655465,5.196604884808592e-4,0.06409146024597263,0
505031101,38,4219,11,997,0.801329534662868,0.007217473884140551,0.18936372269705604,0.002089268755935423
505031102,6,2636,3,845,0.7553008595988538,0.0017191977077363897,0.24212034383954154,8.595988538681948e-4
505031103,3,7387,86,997,0.871828160037767,3.540658562492624e-4,0.11766788622683819,0.010149887879145522
505031104,0,3408,6,375,0.89944576405384,0,0.09897070467141726,0.001583531274742676
505031105,67,6448,7,436,0.9267030755964357,0.009629203794193734,0.06266168439206668,0.001006036217303823
505031106,0,4,0,0,1,0,0,0
505031107,0,4510,3,270,0.9429228517666737,0,0.05644992682416893,6.272214091574326e-4
505031108,24,8656,137,1177,0.8661196718030818,0.0024014408645187113,0.11777066239743847,0.013708224934960976
505031255,0,3009,8,295,0.9085144927536232,0,0.08907004830917874,0.0024154589371980675
505031256,0,260,3,0,0.9885931558935361,0,0,0.011406844106463879
505031257,0,1274,19,0,0.9853054911059551,0,0,0.014694508894044857
505031258,5,3448,10,112,0.9644755244755244,0.0013986013986013986,0.03132867132867133,0.002797202797202797
506011110,185,6302,28,1991,0.7408887843874912,0.021749353397601694,0.234070068187162,0.003291794027745121
506011111,0,0,3,0,0,0,0,1
506011112,0,2110,42,174,0.9071367153912295,0,0.07480653482373173,0.018056749785038694
506011113,7,6087,7,818,0.8797514091631738,0.0010117068940598353,0.11822517704870646,0.0010117068940598353
506011114,102,3711,65,699,0.8107930959143543,0.022285339742189207,0.15272012235088486,0.014201441992571553
506011115,17,3075,15,42,0.9765004763416958,0.005398539218799619,0.013337567481740234,0.00476341695776437
506011116,3,2697,13,3,0.9930044182621502,0.0011045655375552283,0.0011045655375552283,0.004786450662739323
506011117,0,3420,7,238,0.9331514324693042,0,0.06493860845839018,0.0019099590723055935
506021118,264,4747,93,1445,0.724843487555352,0.04031149793861658,0.22064437318674607,0.014200641319285386
506021119,955,4786,48,1986,0.6155627009646302,0.12282958199356914,0.25543408360128617,0.006173633440514469
506021120,0,0,4,0,0,0,0,1
506021121,0,0,0,0,NaN,NaN,NaN,NaN
506021122,2078,7072,47,2692,0.5948355622844647,0.1747834132391286,0.2264277903944823,0.003953234081924468
506021123,2170,3100,30,2198,0.41344358495598826,0.2894105094691918,0.29314483862363294,0.0040010669511869835
506031124,967,5269,72,2529,0.5962430689147901,0.1094262758854815,0.28618309381011653,0.00814756138961186
506031125,0,3196,0,158,0.9528920691711389,0,0.04710793082886106,0
506031126,0,0,0,0,NaN,NaN,NaN,NaN
506031127,326,4726,45,2261,0.6422941016580592,0.04430551780375102,0.3072845882033161,0.006115792334873607
506031128,152,4992,10,744,0.8463886063072228,0.025771447948457104,0.12614445574771108,0.00169548999660902
506031129,47,4323,7,945,0.8122886133032694,0.008831266441187523,0.17756482525366404,0.0013152950018789928
506031130,3,0,0,0,0,1,0,0
506031131,323,5711,7,340,0.895000783576242,0.05061902523115499,0.05328318445384736,0.001097006738755681
506041132,186,6420,21,838,0.8600133958472873,0.024916275954454118,0.11225720026791694,0.002813127930341594
506041133,85,6481,14,812,0.876758658008658,0.011498917748917748,0.10984848484848485,0.001893939393939394
506041134,149,6880,30,1492,0.8045842591509765,0.017424862589170857,0.1744825166647176,0.003508361595135072
506041135,12,6344,4,233,0.9622326710147125,0.0018201122402548156,0.03534051266494767,6.067040800849386e-4
506041136,207,4357,179,675,0.804171280915467,0.03820598006644518,0.12458471760797342,0.033038021410114436
506041137,101,8141,8,743,0.9052596463916379,0.011230957411319915,0.0826198154119871,8.895807850550428e-4
506051138,5,6625,145,599,0.8984269053430973,6.780580417683754e-4,0.08123135340385138,0.019663683211282885
506051139,9,4781,16,156,0.9635227730753728,0.0018137847642079807,0.03143893591293833,0.0032245062474808546
506051140,7,5826,14,363,0.9381642512077295,0.0011272141706924316,0.058454106280193235,0.0022544283413848632
506051141,72,3996,43,125,0.943342776203966,0.0169971671388102,0.029508970727101038,0.010151085930122757
506061142,15,5698,5,102,0.9790378006872852,0.002577319587628866,0.01752577319587629,8.59106529209622e-4
506061143,0,2187,22,3,0.9886980108499096,0,0.00135623869801085,0.009945750452079566
506061144,3,1569,23,5,0.980625,0.001875,0.003125,0.014375
506071145,1083,2459,54,3831,0.33108926888380236,0.14581930793052378,0.5158206543691934,0.00727076881648041
506071146,119,3439,29,700,0.8021926755306741,0.02775833916491719,0.16328434802892466,0.0067646372754840214
506071147,2057,3527,30,2897,0.4144048877922688,0.24168722829279757,0.3403830337210669,0.0035248501938667607
507011148,6,5555,14,466,0.9195497434199635,9.932130441979805e-4,0.07713954643270982,0.002317497103128621
507011150,0,0,0,0,NaN,NaN,NaN,NaN
507011151,0,0,0,0,NaN,NaN,NaN,NaN
507011152,0,3120,197,226,0.8806096528365792,0,0.06378775049393169,0.055602596669489135
507011153,317,2932,8,399,0.8019693654266958,0.08670678336980306,0.10913566739606127,0.002188183807439825
