SA2_CODE,Both_Parents_Born_Australia,Both_Parents_Born_Overseas,One_Parent_Born_Overseas
207011155,7751,5680,2107
207021156,2932,6538,1009
207021157,4532,13565,1592
207021159,4939,9338,1570
207021160,4301,7207,1294
207021424,3571,9327,1166
207021425,3240,9046,1083
207031161,9246,8691,2491
207031162,4365,4668,1183
207031163,5714,11160,1676
207031164,6153,8930,1735
207031165,3484,7221,936
207031166,2629,6426,817
207031167,4766,3529,1295
208011168,6961,3890,1921
208011169,10842,7376,3069
208011170,6695,6019,2207
208011171,5040,3653,1639
208011172,7938,5993,2648
208011173,8240,5024,2315
208021174,8245,10209,2923
208021176,5316,9879,1908
208021177,6155,9915,3551
208021178,4850,9110,2515
208021179,4497,4402,1838
208021180,2373,4056,798
208021181,3518,4182,1159
208021182,3826,7497,1375
208021426,5012,7275,1783
208021427,5044,5823,1757
208031183,3141,4511,986
208031184,21,14,0
208031185,5532,3768,1495
208031186,6567,4423,1923
208031187,2450,1895,766
208031188,9181,8947,2924
208031189,6721,3302,1889
208031190,5893,4669,1683
208031191,3096,4041,1051
208031192,0,0,0
208031193,9928,6252,2704
208041194,9596,6636,2654
208041195,9464,8383,2490
209011196,4018,4462,926
209011197,11455,5506,2669
209011198,6878,5184,1861
209011199,5064,6110,1470
209011200,5104,4271,1480
209011201,3709,2636,1037
209011202,9622,3668,2154
209011203,8698,6546,2228
209011204,4859,2704,1149
209021205,3156,6413,888
209021207,7826,14290,2470
209021208,6515,13455,2425
209021428,6211,9910,2134
209021429,4319,5700,1496
209031209,13108,5697,3192
209031210,2226,570,507
209031211,2434,586,485
209031212,3174,864,670
209031213,4884,2890,1151
209031214,3987,1375,970
209031215,8453,2880,1802
209041216,1906,4523,655
209041217,1635,3653,512
209041219,3369,16170,1839
209041220,5353,9774,1888
209041221,3757,6261,1229
209041223,2709,15041,1354
209041224,9620,3424,1796
209041225,5143,1577,810
209041430,12277,4977,2830
209041431,4107,6988,1338
209041432,2260,4778,736
209041433,1848,7512,915
209041434,6678,6803,1909
209041435,4207,5974,1369
209041436,4687,5595,1231
209041437,1539,6143,736
210011226,3152,3057,866
210011227,0,0,0
210011228,3540,3488,1036
210011229,8126,13826,2678
210011230,3283,2412,942
210011231,4873,2950,1191
210021232,8e3,2411,1664
210021233,2002,642,491
210021234,2630,726,476
210021235,6134,1378,1061
210031236,2407,3652,926
210031237,2075,9437,1225
210031239,8416,10752,2757
210031438,5315,13165,1942
210031439,1212,1168,374
210031440,1596,2958,681
210041240,7373,2945,1680
210041241,15604,6143,3407
210051242,2472,8212,1110
210051243,2079,11310,1439
210051245,6638,7881,1970
210051246,4690,8966,1960
210051247,1773,10612,1338
210051248,46,31,20
210051249,2500,16451,1710
210051250,2212,3088,653
210051441,2943,4082,842
210051442,2780,7078,1078
210051443,4421,9604,1455
210051444,2390,9971,1133
210051445,1116,1676,401
211011251,5093,4941,1321
211011254,5719,7216,1544
211011255,3212,2216,800
211011256,5787,7211,1667
211011257,3301,3564,940
211011258,3770,5264,1185
211011259,5209,6639,1413
211011260,5809,9713,1602
211011446,10925,6935,2840
211011447,6966,4224,1936
211011448,7467,4582,1972
211011449,2539,911,605
211021261,6983,6261,1999
211021262,5642,2465,1427
211031263,6257,3276,1469
211031265,10426,4449,2492
211031266,7312,7046,1972
211031267,10290,6298,2733
211031268,5068,2862,1250
211031450,7680,4514,2002
211031451,6802,4114,1713
211031452,2639,1220,655
211041269,3750,5440,1012
211041270,6934,6560,1959
211041271,4604,5312,1273
211041272,4319,4589,1181
211041273,3699,6596,1044
211051274,5470,2292,1686
211051275,5416,2749,1318
211051276,8461,2557,1752
211051277,4992,2316,1255
211051278,11029,4160,2644
211051279,2974,1436,891
211051280,3965,1405,988
211051281,11908,6064,2987
211051282,5185,2321,1580
211051283,5940,1794,1459
211051284,5309,2197,1669
211051285,4753,1353,1065
211051286,9752,2938,2287
212011287,6643,4002,1814
212011288,5689,1273,1042
212011289,10321,3769,2706
212011290,4757,1159,884
212011291,9652,5239,2531
212011292,13689,9561,3683
212021293,10403,8309,3067
212021294,9395,12320,3078
212021295,2044,7638,726
212021297,1824,7653,721
212021299,3175,3133,898
212021453,2510,7615,1032
212021454,2418,9170,1110
212021455,4617,6717,1535
212021456,4157,7718,1354
212031300,8004,8297,2261
212031301,7702,14252,2472
212031302,6286,10581,2063
212031303,5020,1969,1154
212031304,4733,7986,1528
212031305,4210,17726,1748
212031306,2507,10781,1118
212031308,4782,1394,1005
212031457,4822,6131,1699
212031458,4567,9787,1616
212041309,2248,7901,939
212041310,1176,10198,596
212041311,2928,23434,1408
212041312,3877,15710,1539
212041313,4834,3726,1277
212041314,3710,19496,1722
212041316,1317,5094,632
212041317,1364,18340,640
212041318,1136,10315,480
212041459,1562,9310,661
212041460,2182,14433,876
212051319,5275,9983,1754
212051320,2723,17276,1035
212051321,4564,14438,1362
212051322,3636,13572,1138
212051323,4565,8816,1307
212051324,5482,10281,1662
212051325,4707,11934,1647
212051326,5817,11920,2221
212051327,5452,11650,1742
213011328,1537,5037,563
213011329,851,7792,600
213011330,3886,18664,1856
213011331,1278,5953,640
213011332,2948,8208,1428
213011333,1641,10242,942
213011334,1792,15476,1006
213011335,1181,13914,680
213011336,1982,6305,708
213011337,1161,9186,537
213011338,2356,13865,1147
213011339,2777,7277,1105
213011340,5017,9624,1949
213021341,5196,5018,1675
213021342,6023,9828,2177
213021343,3565,7714,1659
213021344,8056,6012,2587
213021345,1592,2617,604
213021346,7568,4827,2157
213031347,3005,12771,1005
213031348,4024,9135,1463
213031349,2829,7466,1062
213031350,3721,3579,1318
213031351,3580,5755,1316
213031352,6440,5258,2195
213041353,12681,3859,2565
213041355,5958,10757,2461
213041356,9070,6173,2192
213041357,10475,8486,2722
213041358,8127,5946,2143
213041359,663,671,219
213041360,4649,11665,2130
213041461,989,3146,398
213041462,929,4304,557
213041463,4712,11997,2041
213051361,6681,9283,2137
213051362,6323,10093,1942
213051363,1699,5977,608
213051365,6273,23956,2589
213051366,2441,17317,1290
213051368,4737,4495,1340
213051369,9002,10365,2521
213051464,2935,7399,1170
213051465,5911,13895,2316
213051466,2455,10149,1144
213051467,6935,9423,2003
213051468,5616,4034,1496
214011370,9528,6919,2703
214011371,10609,6757,3155
214011372,9462,5455,2587
214011373,9317,5089,2803
214011374,13579,5443,3545
214011375,8368,4399,2293
214011376,6002,4691,1805
214021377,6074,2812,1377
214021378,3367,858,721
214021379,13200,4212,3014
214021380,12658,6452,3323
214021381,9200,5163,2676
214021382,10101,4732,2785
214021383,10380,3224,2092
214021384,12585,4311,2471
214021385,10765,3573,2610
215011386,5725,857,544
215011387,2220,301,220
215011388,12845,1332,996
215011389,2817,192,179
215011390,5321,660,388
215011391,2649,272,200
215011392,6084,775,564
215011393,2183,201,182
215011394,5102,488,378
215021395,4952,904,507
215021396,3577,472,309
215021398,2840,323,210
215021399,4121,670,436
215021469,11711,3023,1322
215021470,9439,2839,1037
215031400,4773,435,344
215031401,5308,418,421
215031402,2954,301,263
215031403,1366,1150,233
215031404,7648,1447,577
215031405,4500,609,369
216011406,11109,1220,1078
216011407,8086,1128,715
216011408,2963,251,232
216011409,3044,281,243
216011410,2911,453,317
216021411,3957,1274,533
216021412,1907,247,181
216021413,9187,1226,927
216021414,5812,793,535
216031415,5498,1066,634
216031416,11296,4242,1365
216031417,13028,6328,1700
216031418,2931,358,276
216031419,6706,1477,789
217011420,6453,828,585
217011421,7695,909,663
217011422,7955,1079,823
217011423,4701,528,415
217031471,2704,255,230
217031472,9262,1180,873
217031473,4027,489,418
217031474,4105,395,347
217031475,5446,659,468
217031476,2058,664,355
217041477,5110,509,476
217041478,7141,879,602
217041479,16057,1940,1590
217041480,9346,1350,1014
297979799,10,14,3
299999499,2654,2206,605
301011001,9314,3934,2297
301011002,3895,2161,1004
301011003,8265,3793,1989
301011004,9751,4816,2377
301011005,2136,883,511
301011006,6227,3310,1580
301021007,7088,4933,1808
301021008,2863,1925,769
301021009,8687,3839,2147
301021011,4538,1871,1173
301021012,7476,4651,1919
301021013,8450,3752,1995
301021527,5043,2099,1075
301031014,4,0,0
301031015,4030,1946,1050
301031016,6660,2604,1577
301031017,1979,1297,583
301031018,4468,2618,1181
301031019,4163,3267,1260
301031020,7206,3423,1806
301031021,7624,4280,1952
302011022,3963,2041,979
302011023,4141,2748,978
302011024,4011,3397,983
302011025,5001,2161,1271
302011026,4241,2015,993
302021027,6391,3716,1597
302021028,3895,3507,966
