sa2_code,region,females,males,x0_4,x10_14,x15_19,x20_24,x25_29,x30_34,x35_39,x40_44,x45_49,x5_9,x50_54,x55_59,x60_64,x65_69,x70_74,x75_79,x80_84,x85_and_over
102011038,Saratoga - Davistown,3691,3504,499,442,419,376,376,399,437,449,460,489,474,472,434,439,358,284,199,189
102011039,Terrigal - North Avoca,7058,6881,808,829,877,854,896,803,819,919,955,862,930,991,945,871,681,419,282,198
102011040,Umina - Booker Bay - Patonga,12533,11702,1421,1225,1227,1252,1180,1337,1330,1534,1522,1417,1554,1585,1610,1716,1532,1046,798,949
102011041,Wamberal - Forresters Beach,5049,5020,681,725,652,541,464,595,606,738,726,803,669,643,591,552,413,295,193,182
102011042,Woy Woy - Blackwall,7375,6841,785,691,737,747,715,742,812,856,906,763,933,999,934,961,847,637,495,656
102011043,Wyoming,6106,5667,737,686,726,691,687,750,699,674,679,784,699,695,657,650,561,430,358,610
102021044,Bateau Bay - Killarney Vale,11751,10727,1489,1323,1345,1266,1254,1427,1352,1336,1330,1534,1371,1437,1317,1264,995,795,680,963
102021045,Blue Haven - San Remo,5783,5519,906,880,913,845,739,705,669,757,774,936,656,596,528,477,364,278,161,118
102021046,Budgewoi - Buff Point - Halekulani,4831,4759,603,540,511,538,519,534,509,526,581,570,631,682,628,620,570,481,278,269
102021047,Chittaway Bay - Tumbi Umbi,8058,7686,993,1053,1050,976,922,934,902,1015,1058,1137,1080,1073,912,775,614,466,355,429
102021048,Gorokan - Kanwal - Charmhaven,11629,10955,1337,1434,1404,1509,1331,1229,1157,1271,1415,1402,1401,1420,1359,1313,1071,941,704,886
102021049,Jilliby - Yarramalong,1706,1717,191,259,289,182,145,161,197,254,292,208,292,288,229,189,103,81,33,30
102021050,Lake Munmorah - Mannering Park,5566,5359,587,585,615,613,543,534,501,530,643,615,687,711,697,830,869,681,421,263
102021051,Ourimbah - Fountaindale,2501,2513,289,368,341,370,319,290,269,332,371,374,390,368,314,235,176,100,52,56
102021052,Summerland Point - Gwandalan,2904,2993,335,391,358,346,281,311,293,402,389,368,405,392,378,468,343,218,137,82
102021053,The Entrance,7899,7484,876,768,775,861,917,914,847,957,943,848,1054,1008,1023,1088,874,649,496,485
102021054,Toukley - Norah Head,5123,4917,593,467,484,581,542,536,498,526,569,546,588,701,684,726,595,512,406,486
102021055,Tuggerah - Kangy Angy,2758,2684,399,384,382,331,378,340,346,386,380,386,325,313,281,237,217,176,102,79
102021056,Warnervale - Wadalba,8025,7612,1200,1352,1162,875,787,1029,1119,1250,1038,1414,891,711,655,641,569,435,255,254
102021057,Wyong,4579,4436,586,606,582,622,601,504,518,567,614,589,615,589,486,528,409,272,174,153
103011058,Bathurst,12266,12188,1535,1451,1771,2395,1963,1583,1373,1418,1441,1544,1412,1410,1298,1140,904,701,523,592
103011059,Bathurst - East,5747,5677,916,959,891,665,696,696,667,771,738,968,622,640,567,545,381,274,217,211
103011060,Bathurst Region,3281,3725,326,514,496,330,242,329,343,488,582,434,609,573,503,513,382,173,102,67
103011061,Oberon,2241,2463,290,256,308,302,271,214,236,248,316,291,300,297,341,380,294,156,108,96
103021062,Condobolin,3371,3436,562,448,352,392,378,444,337,368,347,509,440,460,426,394,307,268,195,180
103021063,Cowra,4785,4515,577,559,566,530,455,443,439,506,548,586,606,606,641,633,480,434,313,378
103021064,Cowra Region,2698,2821,272,380,313,240,200,225,257,322,385,362,438,425,415,445,336,254,127,123
103021065,Forbes,5153,5251,702,718,679,552,593,525,509,552,619,727,719,650,645,652,536,437,323,266
103021066,Grenfell,1824,1841,199,201,187,122,143,146,201,187,215,227,262,283,291,319,250,186,111,135
