SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
107011545,427,843,1045,4025,4770,11108
107011546,278,772,845,2999,3096,7989
109031183,204,384,476,1455,3027,5553
109031184,141,394,414,1153,2728,4823
109031185,299,692,771,2088,4201,8040
110011186,614,1129,1493,8214,7777,19225
102011037,170,340,536,1502,2540,5084
102011038,162,346,515,1569,3030,5626
102011039,377,481,1068,3304,5748,10968
102011040,848,1716,2511,6359,8305,19735
102021048,842,1605,2253,6186,7239,18128
102011036,216,307,562,1992,3281,6355
102011043,358,899,1043,2997,4044,9346
102021044,720,1537,1896,5703,8003,17856
102021045,422,390,871,3286,3497,8461
102021046,374,605,965,2401,3432,7779
102021047,455,749,1150,3835,6123,12316
102021049,74,83,215,842,1507,2722
102021050,369,715,1036,2542,4378,9043
102021051,131,142,370,1284,1957,3891
102021052,207,283,540,1385,2314,4728
102021053,663,965,1807,4252,4893,12582
102021054,403,851,1091,2574,3334,8258
102021055,164,215,407,1349,2051,4182
103011059,294,419,646,2922,4199,8478
103011060,183,225,536,1621,3128,5691
103011061,146,268,346,1239,1867,3866
103021062,161,424,393,1707,2524,5209
103021063,294,688,738,2373,3427,7519
103021064,189,340,466,1228,2253,4467
103021065,327,631,663,2534,3977,8135
103021066,127,263,271,739,1641,3038
103021067,302,699,755,2936,3988,8692
103021068,103,174,237,831,1414,2760
103021069,151,403,326,1300,2530,4711
103031070,399,839,1174,3735,4522,10670
103031071,268,383,706,2050,3413,6821
102021056,414,558,939,3554,5952,11416
102021057,336,421,885,2685,2804,7133
103011058,681,1227,1750,7965,7896,19517
105021097,619,1241,1612,5202,6089,14767
105021098,84,85,157,908,796,2026
105031099,287,532,683,1842,3200,6543
105031100,326,439,700,3083,3659,8204
105031105,210,428,414,1609,2462,5127
105031106,286,570,622,2700,3044,7223
106011107,270,281,650,2441,4187,7824
106011108,808,1274,1776,6583,7194,17637
106011109,234,270,661,1912,3305,6388
106011110,212,426,705,2024,3953,7315
106011111,635,908,1473,5062,5964,14033
106011112,434,642,1053,4568,5948,12640
106011113,115,145,294,1049,2312,3912
106021114,237,310,555,1933,2196,5229
106021115,780,1273,2100,7026,10577,21758
106021116,173,289,435,1573,3416,5884
106021117,704,856,1510,6230,8030,17331
106021118,229,235,601,2327,4324,7714
106031119,164,308,538,1349,2430,4787
106031120,226,395,648,1498,2730,5497
106031121,614,1564,2044,4330,9311,17867
106031122,496,686,1337,4015,4429,10968
